idHo,Ten_KH,Ten_TV,Mo_ta,idBo
173,Limnocharitaceae,"Nê thảo (Kèo nèo, Choóc)","Limnocharitaceae Takht. ex Cronq. 1981Cỏ ở nước, có mủ. Lá non hơi nổi trên mặt nước, lá già phân hoá thành cuống và phiến. Phiến hình trứng đến hình tim.Cụm hoa tán. Hoa lưỡng tính, mẫu 3 gồm đài và tràng. Nhị 6 - 10 hay hơn, thường có nhị lép. Hạt phấn có 4 - nhiều lỗ. Bầu có ba đến nhiều lá noãn rời. Noãn nhiều đính ở mặt trong của lá noãn.Thế giới có 3 chi 12 loài, phân bố ở Vùng nhiệt đới và á nhiệt đới, sống trong sinh cảnh nước.Việt Nam có 2 chi, 2 loài.Phân loại: Trong các công trình trước đây coi họ này và họ Alismataceae là một. Theo các bằng chứng về sinh hoá, phôi và giải phẫu người ta coi họ này có họ hàng với Alismataceae.Giá trị kinh tế: Limnocharis trồng làm thức ăn và Hydroceis trồng làm cảnh",46
174,Linaceae,Lanh,"Linaceae Gray 1821Dây leo có gai nang 2 mấu nhọn mọc đối nhau. Lá mọc đối.Hoa ít ở nách lá. Lá đài giống nhau, dài hơn cánh hoa 4 lần. Cánh hoa thường có móng. Nhị 5 dài xen kẽ với các cánh hoa và 5 nhị lép. Bầu có 5 vòi rời.Quả nang cắt vách (loculicide)Thế giới có 6 chi, 250 loài, phân bố ở Chủ yếu ở vùng ôn đới, chỉ một vài đại diện ở vùng nhiệt đới.Việt Nam có 3 chi, 3 loài.Phân loại: Đặc trưng là có cánh tràng rụng sớm và chỉ nhị ngắn. Nó được đặt cùng một bộ với Geraniaceae nhưng nó tiến bộ hơn Plumbaginaceae.Công dụng: Lấy sợi, lấy dầu và làm thức ăn gia súc, một số trồng làm cảnh (Linum usitatissimum). ",2
175,Lindsaeaceae,,"Lindsaeaseae contains genera that were formerly considered part of Dennstaedtiaceae. Molecular data supported the separation of Lindsaeaseae into its own family. Lindsaeaseae is considered the most basal of the order Polypodiales. Characteristics include: Rhizomes short to long creeping; rhizomes with nonclathrate scales or uniserate hairs; blades 1-3 pinnate or more divided; veins usually free; sori marginal or submarginal; indusia open towards margin, sometimes attached at sides, or sori covered by the reflexed segment margin.The genus Lonchitis has many morphological characteristics similar to Dennstaedtiaceae, but a few characteristics of the spore are similar to the lindsaeoid genera, and molecular data strongly places this genus in Lindsaeaseae",33
176,Lobeliaceae,"Lỗ bình, Bã thuốc, Sơn cánh thái, Lô biên","Lobeliaceae - Họ Lỗ bình:Họ này có dạng sống từ cây thảo đến cây gỗ. Lá đơn, nguyên, mọc cách và không lá kèm.Hoa đối xứng 2 bên với cánh hoa có màu sắc sặc sỡ, thường lưỡng tính, mẫu 5, với cánh hoa dính và cong lại. Nhị 5 rời hay dính với cánh hoa, bao phấn dính lại thành ống và bao quanh vòi nhụy, 3 cái trên dài hơn các cái dưới. Bầu dưới có 2-3 ô với nhiều noãn đính góc bên.Quả thường là quả mọng, không mở hoặc mở.Thế giới có 35 chi và 1200 loài, phân bố chủ yếu ở vùng Nhiệt đới và Cận nhiệt đới của bán cầu Nam, ít có ở vùng Ôn đới bán cầu Bắc.Ở Việt Nam có 3 chi và chừng 10 loài.Phân loại: Họ này chia làm 2 tông dựa trên đặc điểm của bầu và quả: Tông Lobelieae: Bầu nhọn ở đỉnh, quả mở (Lobelia) và tông Delisseae: Bầu bằng có đỉnh, quả không mở (Pratia). Họ này tiến bộ hơn Campanulaceae với hoa không đều, nhị dính và có ancaloit. Quan hệ giữa hai họ này rất gần nên một số tác giả nhập thành một họ.Giá trị kinh tế: Nhiều câu làm cảnh (Hippobroma longiflora) và làm thuốc (Lobelia nicotianifolia).",69
177,Loganiaceae,Mã tiền,"Loganiaceae - Họ Mã tiền:Cây gỗ, cây bụi hay cây dây leo thường có 2 móc đối xứng. Lá rộng hình trứng hay hình bầu dục, mọc đối, lá kèm ít rõ nhưng có khi biến thành móc câu, thường có dạng gân chân vịt ở gốc.Cụm hoa ngủ với các hoa đều, mẫu 5, bao hoa hợp. Tràng hợp thành ống, các thùy xếp van hay lợp (ít khi vặn). Nhị đẳng số đính trên ống tràng và xen kẽ với các thùy của tràng. Bộ nhụy gồm 3-2 lá noãn hợp syncarp (hợp nguyên lá noãn). Bầu thượng 3-2 ô, mỗi ô thường nhiều (đôi khi 1) noãn.Quả hình cầu có cơm trắng với hạt nhiều, hình đĩa phủ lông dày lấp lánh. Quả nang cắt vách (septicide) hoặc mở bằng khe tròn ngang, đôi khi quả mọng. Hạt đôi khi có cánh.Thế giới có 15 chi và 400 loài, phân bố ở vùng Nhiệt đới và Cận nhiệt đới, nhiều ở Nam và Đông Nam Á.Việt Nam có 4 chi và khoảng 25 loài.Phân loại: Họ này chia làm 10 tông: Desfontenieae, Retzieae, Plocospecmeae, Potalieae, Buddlejeae, Antonieae, Gelsemieae, Stricneae, Loganieae và Spigelieae. Một vài tác giả dựa vào đặc tính giải phẫu để chia họ này thành 2 phân họ: Loganioideae và Buddlejoideae. Họ này rất phức tạp, có thể chứa nhiều nhóm không có liên quan đến nhau. Buddlejoideae có thể liên quan đến Scrophulariaceae, trong khi đó Loganioideae có quan hệ với Apocynaceae và Rubiaceae. Nhiều tác giả đã tách phân họ Buddlejoideae thành một họ riêng.Giá trị kinh tế: Chiết strychnin để làm thuốc (Strychnos spp.), một số làm cảnh. ",7
178,Lomariopsidaceae,Dây choại gà,,32
179,Loranthaceae,"Tầm gửi, Chùm gửi","Loranthaceae - Họ Tầm gửi:Cây bụi hay bụi nhỏ, thường sống bán ký sinh bám trên cây khác với lá màu xanh, có khi không lá với thân màu xanh, có đốt. Lá đơn mọc đối hay mọc vòng.Hoa thường lưỡng tính, đều hay không đều. Rất đặc trưng bởi cụm hoa (chùm, bông hay tán) gồm những nhóm 3 hoa (Triad) đầy đủ hoặc hoa giữa thoái hóa để thành nhóm 2 hoa (Dyad), thậm chí 2 hoa bên tiêu giảm để có hoa đơn độc thứ cấp (mỗi hoa có 3 lá bắc ở gốc bầu). Hoa có ống dài màu đỏ hay vàng hoặc tía, thường hơi cong với các thùy bao hoa ở đỉnh, mẫu 4-5, bầu dưới có ngấn rõ. Khi hoa nở thường các cánh hoa dễ rụng. Bao hoa thường thành 2 vòng (mỗi vòng 2-3 chiếc, rời hay hợp thành ống) dạng cánh hoa, có mầu. Ngoài bao hoa còn có tiểu đài hình vòng hay có răng, không đều. Nhị đẳng số (4-6) và đối diện với các lá bao hoa.Quả mọng hay ít khi là quả khô.Thế giới có 70 chi và 940 loài, phân bố chủ yếu ở vùng Nhiệt đới, ít ở vùng Ôn đới.Việt Nam có 5 chi và gần 35 loài.Phân loại: Có phân họ: Loranthoideae và Viscoideae. Một số tác giả coi 2 phân họ này như 2 họ. Có lá và cụm hoa gần với Myrtaceae, có thể Santalaceae và Misodendraceae là gần nhất.Giá trị kinh tế: Làm thuốc (Loranthus, Macrosolen) ",6
180,Lowiaceae,Hùng lan (Lâu lan),"Lowiaceae Rild. 1924Gần với họ Thiên điều (Strelitziaceae), không có thân khí sinh.Đài hoa hợp thành ống dài và mảnh, hoa rất không đều, cánh hoa giữa rất lớn tạo thành môi. Noãn nhiều, đính trên giá noãn trụ giữa. Bầu hạ, 3 ô.Quả nang có hạt với tử y xẻ thành 3 thùy.Thế giới có 1 chi, 5 loài, phân bố chủ yếu ở Đông Nam Á và Nam Trung HoaViệt Nam có 1 loài duy nhất, Hùng lan việt - Lowia vietnamica",78
181,Lycopodiaceae,Thông đất,"Lycopodiaceae Mirb. 1802Họ Thạch tùng hay họ Thông đất (danh pháp khoa học: Lycopodiaceae) là một họ thực vật thuộc lớp Lycopodiopsida, bộ Lycopodiales) chứa một số loài thực vật có mạch nguyên thủy, bao gồm các loài thạch tùng hay thông đất. Các loài trong họ này (khi hiểu theo nghĩa hẹp) mang bào tử trong một cấu trúc chuyên biệt hóa ở đỉnh của thân cây; chúng trông trương tự như một cái chùy nhỏ. Chúng không ra hoa và cũng không sinh ra hạt.Các chi Huperzia, Phlegmariurus và Phylloglossum với các loài của chúng nói chung cũng hay được gộp vào trong chi Lycopodium với định nghĩa và giới hạn rộng hơn trong một số phân loại cũ, nhưng lại được coi như là một họ riêng rẽ và khác biệt có danh pháp Huperziaceae trong một số phân loại khác. Chúng khác ở chỗ sinh ra bào tử trong các cấu trúc nhỏ mọc ra ở các nách lá. Hiện tại vẫn chưa có sự đồng thuận về sự công nhận họ Huperziaceae như là một họ riêng biệt.Họ Thông đất gồm những cây cỏ sông lâu năm, mọc ở đất hoặc trên các cây to. Thân đứng, nằm hoặc thõng xuống đất, phân nhánh theo lối rẽ đôi. Lá nhỏ đơn một gân, thường xếp theo đường xoắn ốc, mọc so le. Lá bào tử giống hoặc khá giống các lá thường, xếp thành hình nón ở đầu ngọn cành. Túi bào tử riêng lẻ ở các lá bào tử, hình thận hoặc hình cầu, bào tử nhỏ và giống nhau, hình khối 4 mặt, bào tử nảy mầm cho nguyên tản hình tim, mang túi tinh và túi noãn. Sau khi noãn cầu được thụ tinh, hợp tử phất triieenr trên nguyên tản hình thành cây thông mới.Họ Thông đất gồm 3 chi với khoảng 200 loài.",92
182,Lythraceae,Bằng lăng,"Lythraceae Jaume 1805Cây gỗ lớn, rất ít cây thảo, thường có vỏ lốm đốm trắng trắng với các bạnh vè rộng và mỏng. Lá mọc đối.Cụm hoa chuỳ gồm nhiều hoa có màu trắng, tím hay hồng. Hoa mẫu 5 có cánh hoa nhàu nát trong nụ.Quả nang có các lá đài bao lấy phần dưới, khi già nứt ở đỉnh thành 5 mảnhThế giới có 23 chi, 500 loài. Phân bố ở Nhiệt đới (Ôn đới)Phân loại: Hai tông: Lythreae (Rotala), quả có vách tách ở đỉnh và Nesaeae, quả vách tách hoàn toàn (Lagerstroemia). Quan hệ với Myrtaceae, Onagraceae, Punicaceae, Sonneratiaceae và Combretaceae.Giá trị kinh tế: Nhuộm, lấy gỗ, làm cảnh (Lagerstroemia indica) và làm thuốc (Lagerstroemia spp.) ",47
183,Magnoliaceae,Mộc lan,"Luôn là cây gỗ, lá đơn, mọc cách, có lá kèm bao lấy chồi nonĐế hoa dài, bao hoa gồm nhiều phiến giống nhau, xếp vòng theo mẫu 3-6; nhị và lá noãn xếp xoắn, nhiềuQuả nhiều đại, thường có dạng ""nón thông"", đôi khi quả hạch khô và có cánhThế giới có 13 chi, 120 loài, chủ yếu phân bố ở Bắc bán cầu, những loài cổ sơ nhất tập trung ở khu vực Đông Nam Á.Ở Việt Nam có 10 chi, gần 50 loài",55
184,Malpighiaceae,"Kim đồng (Măng rô, Kim hổ vĩ)","Malpighiaceae Juss. 1789Dây leo. Lá mọc đối. Có lông hình đòn gánh hoặc lông hình saoHoa có màu sắc, 5 cánh hoa có cuống rõ, 10 nhị, lá đài có tuyến lớn ở gốc, cánh hoa không có phần phụQuả có cánh bao quanh mỏng 2 - 3 thuỳ hoặc 3 cánh hướng về 1 hướng trong đó có 1 cánh dài hơnThế giới có 60 chi, 870 loài, phân bố ở chủ yếu ở vùng nhiệt đới, đặc biệt ở nam Mỹ.Việt Nam có 5 chi, 30 loàiPhân loại: họ này được coi như nguyên thuỷ trong bộ Polygalales, một số tác giả khác còn coi nó có quan hệ với Geraniales và Sapindales.Công dụng: làm cảnh, một số quả ăn được (Malpighia coccigera, M. glabra). ",48
185,Malvaceae,Bông (Bụp),"Malvaceae Juss. 1789Cây đa dạng nhưng chủ yếu cây bụi và cây thảo, vỏ có chất nhầy và sợi li be. Lá đơn, mọc cách, luôn luôn có lá kèm, có lông hình sao.Hoa thường đơn độc, mẫu 5, cánh hoa rời có màu sẵc sặc sỡ, xếp van; bộ nhị đơn thể, nhiều nhị với các bao phấn 1 ô và hạt phấn có gai; bầu trên, 5 ô với nhiều noãn đính góc giữa.Quả nang khi khô tách ra thành 5 hay 10 mảnhThế giới có 90 chi, 1750 loài, phân bố ở Toàn cầu nhưng nhiều ở Nam Mỹ.Việt Nam có 17 chi, 65 loài.Phân loại: Có 5 tông: Malopeae, Hibisceae, Malveae, Abutileae, Ureneae. Nó gần với Tiliaceae, nhưng phân biệt có bao phấn 1 ô, nhị đơn thể, nó có thể xuất phát từ tổ tiên thân gỗ.Giá trị kinh tế: Lấy bông dệt vải, làm cảnh, làm thuốc, làm rau ăn, lấy dầu. ",33
186,Marantaceae,"Củ dong (Hoàng tinh, Huỳnh tinh)","Marantaceae Peters. 1888Cây thảo có thân củ. Lá có phiến to có đốt, hệ gân lông chim với các gân bên song song. Cụm hoa chùy ở đỉnh hay nách lá gồm nhiều lá hoa khô xác.Hoa không đều lưỡng tính, mẫu 3, nhị sinh sản gồm 1 / 2 bao phấn đính trên mép của cánh hoa, bầu dưới. Hạt có phôi cong hình móng ngựaThế giới có 32 loài 350 chi, phân bố ở Chủ yếu nhiệt đới, đặc biệt châu MỹViệt Nam có 7 chi, 15 loài Phân loại: Có hai tông: Phrymeae (bầu 3 ô) và Maranteae (bầu 6 ô). Nó có họ hàng với Zingiberaceae, Musaceae, Cannaceae và Strelitziaceae. Họ này tiến cao nhất trong nhóm bởi sự tiêu giảm mạnh của nhị và lá noãn.Giá trị kinh tế: Lấy bột ăn (Maranta arundinacea), hoa và củ của Calathea ăn được, lá dùng để lợp hay giói, nhiều cây làm cảnh: Maranta và Calathea.",50
187,Marattiaceae,Mã liệt; Ráng móng ngựa,"Trong nhóm này, tán lá lược lớn có thể thấy ở chi Angiopteris (dương xỉ móng trâu), có nguồn gốc từ Australasia, Madagascar và châu Đại Dương. Các lá lược có thể dài tới 9 m như ở loài Angiopteris teysmanniana ở Java. Tại Jamaica loài Angiopteris evecta đã xâm nhập và thích nghi với điều kiện thổ nhưỡng ở đây. Nó bị coi là loài xâm hại. Loài cây này được Bligh, khi đó là đại úy hải quân của Hải quân Hoàng gia Anh, đưa từ Tahiti vào đây như là nguồn cung cấp lương thực cho các nô lệ và lần đầu tiên được trồng tại các khu vườn Castleton năm 1860. Từ đây, nó đã lan rộng ra khắp nửa phía đông của đảo này.Một chi khác từ Đông Á là Christensenia, một loại dương xỉ kỳ dị với các lá lược tương tự như lá của dẻ ngựa. Tên gọi khoa học của loài Christensenia aesculifolia có nghĩa là lá dẻ ngựa Christensen. Christensen là họ của một nhà dương xỉ học nổi tiếng người Đan Mạch.Chi phổ biến nhất trong họ Marattiaceae là Marattia, có mặt trong khắp khu vực nhiệt đới, thông thường ở các cao độ lớn. Đây cũng là các loài dương xỉ lớn với các thân rễ hình cầu, nhưng các lá lược có thể là dạng lông chim kép tới 4 lần. Các túi bào tử hợp nhất thành các cấu trúc hai mảnh vỏ gọi là cụm túi bào tử. Loài dương xỉ vua (Marattia salicina) ở New Zealand, được người Maori gọi là para cũng thuộc chi này. Đôi khi nó còn được gọi là dương xỉ khoai tây, do loài dương xỉ lớn của Australasia với thân rễ nhiều cùi thịt có thể ăn được đã từng được sử dụng như là nguồn cung cấp lương thực cho một số dân tộc bản địa.Chi thứ tư, Danaea là đặc hữu của khu vực nhiệt đới Tân thế giới. Chúng có các lá lông chim kép với các lá chét mọc đối, là các loài có tính lưỡng hình, các lá sinh sản thu nhỏ lại hơn và được che phủ ở mặt dưới bằng các cụm túi bào tử lõm xuống.Các tên gọi chi như Archangiopteris, Macroglossum, Protangiopteris, Protomarattia đều là từ đồng nghĩa của Angiopteris.Theo các nghiên cứu di truyền ở mức phân tử gần đây thì dường như nhóm dương xỉ túi bao tử thật này là nhóm có quan hệ chị em với mộc tặc (Equisetaceae).",92
188,Marsileaceae,Rau bợ,"Marsileaceae /mɑrsɪliˈeɪsiː/ là một họ dương xỉ sống thủy sinh và bán thủy sinh, bề ngoài của chúng rất khác các nhóm dương xỉ còn lại. Nhóm này còn được gọi là ""họ Cỏ bợ"" hoặc ""họ Cỏ bốn lá nước"" vì lá của chi Marsilea về hình thức khá giống với cỏ bốn lá. Lá của họ dương xỉ này đôi khi được dùng thay cho cỏ bốn lá vào ngày Thánh Patrick. Họ Marsileaceae gồm 3 chi và từ 50 tới 80 loài và hầu hết số này thuộc chi Marsilea",51
189,Martyniaceae,Giác hồ ma,"Martyniaceae Stapf 1895Martyniaceae là danh pháp khoa học của một họ thực vật có hoa trong bộ Lamiales, chỉ sinh sống tại khu vực nhiệt đới và cận nhiệt đới Tân thế giới. Họ này chứa 4-5 chi và khoảng 13-16 loài. Nó từng được đặt trong họ Vừng (Pedaliaceae) như trong phân loại của hệ thống Cronquist (trong bộ Scrophulariales), vì thế mà người Trung Quốc gọi họ này là 角胡麻 (giác hồ ma, nghĩa là vừng có sừng), nhưng được Angiosperm Phylogeny Group công nhận như là một họ tách biệt trên cơ sở các nghiên cứu phát sinh loài đã chỉ ra rằng hai họ này không có mối quan hệ họ hàng gần do chúng không tạo thành một nhóm đơn ngành. Các khác biệt về phấn hoa và kiểu đính noãn gợi ý rằng tốt nhất là nên tách rời chúng thành 2 họ[1]. Cả hai họ này đều có đặc trưng là có các lông nhầy — làm cho thân và lá của chúng có cảm giác nhơn nhớt và sền sệt — và quả có móc hay sừng. Một vài thành viên của chi Proboscidea  được gọi là ""cây kỳ lân"" hay ""vuốt quỷ"" do các quả nang chứa hạt có sừng của chúng.Mô tảCác loài trong họ này là cây một năm hay lâu năm. Lá đơn, mọc so le hay đối, thiếu lá kèm. Hoa lưỡng tính, lớn, đối xứng đơn, có lông dính, bầu nhụy thượng. Kiểu đính noãn thành vách. Quả có 2 móc lồi lên ở đỉnh.Hoa mọc thành chùm ở trên ngọn, trên cuống hoa không có tuyến. Bầu 1 ô với 2 giá noãn ở bên chia thành 2 chùy choãi ra, vòi phình to theo quả tạo thành 2 sừngHạt bị ép và hầu như không có nội nhũ.Phân loạiRất gần gũi với Pedaliaceae: thân thảo có lông dính, quả nang (loculicide).Thế giới có 5 chi, 16 loài, phân bố ở nhiệt đới châu Mỹ.Ở Việt Nam có 1 chi, 1 loài: Giác hồ ma - Martynia annuaCác chi    * Craniolaria
    * Holoregmia (có thể gộp trong Martynia)
    * Ibicella
    * Martynia
    * Proboscidea: Khoảng 10 loài",53
190,Mastixiaceae,Búi lửa,"Mastixiaceae - Họ Búi lửa:Gần với Cornaceae (lá mọc đối hay mọc cách, cũng thường có lông chĩa nạng, hoa lưỡng tính, mẫu 5, có triền trong nhị, quả hạch 1 hạt...)Cụm hoa chuỳ hoặc chùm (chứ không hình đầu), cánh hoa thường xếp lợp (chứ không xếp van), nhị 5 xen kẽ với cánh hoa, hoặc nhị 10 diplostemon, bầu 1 ô và hạt chứa phôi cong.Thế giới có 2 chi và 25 loài, phân bố ở châu Á.Việt Nam có 3-4 loài, có cả Diplopanax và Mastixia.",44
191,Melanthiaceae,"Ngoắt nghoẻo, Hắc dược hoa, Lê lô","Họ Hắc dược hoa hay họ Lê lô (danh pháp khoa học: Melanthiaceae) là một họ thực vật có hoa bao gồm khoảng 154-201 loài cây thân thảo sống lâu năm tại khu vực Bắc bán cầu[1]. Họ này được khá ít các nhà phân loại học công nhận, và định nghĩa cũng thay đổi nhiều. Các tác giả trước đây coi các loài cây này thuộc về họ Liliaceae, một phần là do các lá đài và cánh hoa của chúng tương tự như nhau và thường là lớn và sặc sỡ như hoa của các loài trong họ loa kèn[1], trong khi đó một số nhà phân loại học gần đây hơn lại xếp chúng trong họ Trilliaceae. Tuy nhiên, xử lý hiện đại có uy tín nhất, hệ thống APG III năm 2009 (không đổi so với các phiên bản năm 1998 và 2003), lại công nhận họ này và đặt nó trong bộ Liliales của nhánh monocots. Theo định nghĩa của APG III thì họ này bao gồm 16 chi và 170 loài.Các loài quen thuộc của họ này có trọng lâu bốn lá (Paris quadrifolia) và cỏ duyên linh (Trillium spp.).",14
192,Melastomataceae,Mua,"Melastomataceae Juss. 1789Cây gỗ nhỏ, cây bụi hoặc thảo, thân vuông. Lá đơn nguyên, mọc đối, không lá kèm, thường có 3 - 5 gân gốc (gân vòng cung) còn các gân ngang song song.Hoa mẫu 4 - 5, 5 - 4 vòng, thùy đài xếp van, thường có vòng tràng phụ ở giữa cánh hoa và nhị, cánh hoa có mầu sắc sặc sỡ, nhị thường có nhị lép và dạng đòn bẩy, mào trung đới rất dị dạng. Bầu giữa đôi khi bầu dưới bởi đôi khi có sự đổi chỗ của giá noãn trung trụ trên mặt phẳng của lá noãn, có nhiều noãn đôi khi 1 noãn.Quả nang hay mọng có nhiều hạt hay một hạtThế giới có 200 chi, 4000 loài, phân bố ở Ôn đới nhưng chủ yếu nhiệt đới, á nhiệt đới, trung tâm Nam MỹViệt Nam có 30 chi, 115 loài.Phân loại: Chia ra 3 phân họ, 13 tông. Phân họ lớn nhất Melastomatoideae, Astronioideae và Memecyloideae có quan hệ với Myrtaceae qua Memecyloideae và với CombretaceaeGiá trị kinh tế: Gỗ cứng, ăn quả, làm cảnh và làm thuốc ",46
193,Meliaceae,Xoan,"Meliaceae Juss. 1789Họ Xoan còn gọi là họ Dái ngựa, là một họ thực vật có hoa với chủ yếu là cây thân gỗ và cây bụi (có một số ít là cây thân thảo) trong bộ Bồ hòn (Sapindales), được đặc trưng bởi các lá mọc so le, thông thường hình lông chim và không có lá kèm, và bởi hoa hình quả tụ, dường như lưỡng tính (nhưng thực tế phần lớn là đơn tính một cách khó hiểu) trong dạng hoa chùy, xim, cụm v.v. Phần lớn các loài là cây thường xanh, nhưng một số là sớm rụng, có thể là vào mùa khô hay trong mùa đông.Họ này có khoảng 50 chi và 550 loài, với sự phân bổ khắp miền nhiệt đới; một chi (Toona) phát triển tới tận vùng ôn đới phía bắc của Trung Quốc và về phía nam tới đông nam Australia, và một chi khác (Melia) gần như xa như thế về phía bắc.Mô tảCây gỗ. Lá kép lông chim lẻ, mọc cánh, không có lá kèm.Cụm hoa chùm hay chuỳ. Hoa mẫu 4 - 5, 5 vòng, lưỡng tính, nhị đính lại tạo thành ống bao phấn nằm ở mặt trong, tuyến mật giữa nhị và nhụy, giữa các bao phấn có tuyến lồi hoặc phiến dạng cánh hoa. Bộ nhụy gồm 4-5 lá noãn hợp bên (paracarp), bầu trên, một vòi.Hạt thường có áo hạt (tử y)Phân loạiHọ này chia làm 5 phân họ, trong đó 3 phân họ bé và chỉ giới hạn ở Madagasca còn 2 phân họ còn lại phân bố khắp vùng liên nhiệt đới: Melioideae: Hạt không cánh, vỏ hạt nạc và Swietenioideae: Hạt có cánh. Họ này chắc chắn có quan hệ với 3 họ có lá kép lông chim trong Sapindales như Đào lộn hột (Anacardiaceae), Trám (Burseraceae), Bồ Hòn (Sapindaceae), Thanh thất (Simaroubaceae) và Cam (Rutaceae). Họ này phân biệt với chúng bởi bộ nhị.Thế giới có 50 chi, 1400 loài, phân bố ở Nhiệt đới và á nhiệt đớiViệt Nam có 20 chi, 650 loài.Các chi    * Aglaia - Ngâu
      Cây ngâu (Aglaia odorata) nở hoa
    * Anthocarapa
    * Aphanamixis
    * Astrotrichilia
    * Azadirachta
    * Cabralea
    * Calodecarya
    * Capuronianthus
    * Carapa
    * Cedrela
    * Chisocheton
    * Chukrasia
    * Cipadessa
    * Dysoxylum
    * Ekebergia
    * Entandrophragma
    * Guarea
    * Heckeldora
    * Humbertioturraea
    * Khaya - Xà cừ
    * Lansium
    * Lepidotrichilia
    * Lovoa
    * Malleastrum
    * Melia - Xoan
    * Munronia
    * Naregamia
    * Neobeguea
    * Owenia
    * Pseudobersama
    * Pseudocarapa
    * Pseudocedrela
    * Pterorhachis
    * Reinwardtiodendron
    * Ruagea
    * Sandoricum
    * Schmardaea
    * Soymida
    * Sphaerosacme
    * Swietenia - Dái ngựa
    * Synoum
    * Toona
    * Trichilia
    * Turraea
    * Turraeanthus
    * Vavaea
    * Walsura
    * XylocarpusCông dụngGỗ có giá trị (Lát - Chukrasia tabularis, Xoan - Melia azedarach) một số cho quả ăn được (Bòn bon - Lansium domesticum) và một số làm cảnh (Ngâu - Aglaia odorata).Các loài khác nhau được sử dụng để lấy dầu thực vật, sản xuất xà phòng, thuốc trừ sâu cũng như lấy gỗ có giá trị (các loài gụ).Một số loài quan trọng về mặt kinh tế trong họ này là:    * Xoan chịu hạn (neem) Azadirachta indica (Ấn Độ)
    * Carapa procera (Nam Mỹ và châu Phi)
    * Yên dương xuân hay hương hồng xuân Mexico Cedrela odorata (Trung và Nam Mỹ; gỗ còn được biết đến như là gỗ tuyết tùng Tây Ban Nha)
    * Entandrophragma cylindricum (vùng nhiệt đới châu Phi)
    * Entandrophragma utile (vùng nhiệt đới châu Phi)
    * Gụ hồng châu Phi Guarea cedrata (châu Phi)
    * Gụ hồng châu Phi Guarea thompsonii (châu Phi)
    * Xà cừ hay gụ Senegal Khaya senegalensis có nhiều tài liệu viết xà cừ là gụ Bờ Biển Ngà Khaya ivorensis (nhiệt đới châu Phi)
    * Xoan Melia azedarach (Queensland, Ấn Độ và miền nam Trung Quốc)
    * Dái ngựa các loài thuộc chi Swietenia (nhiệt đới châu Mỹ)
    * Hồng xuân Toona australis (Australia), thông thường bao gồm cả Toona ciliata
    * Hồng xuân, surian (tên thương mại quốc tế) Toona ciliata (Ấn Độ, Đông Nam Á và đông Australia)
    * Lát khét Toona febrifuga
    * Hương xuân Toona sinensis",55
194,Menispermaceae,"Tiết dê (Dây mối, Phòng kỷ)","Menispermaceae Juss. 1789Dây leo có lá hình trứng hay tròn ít khi dạng mác.Cụm hoa chuỳ gồm nhiều bông. Hoa nhỏ, mẫu 3, khác gốc, 6 lá đài, không có cánh hoa, 6 nhị. Hoa cái có 6 nhị lép, bầu 3 ô. Hạt dạng con sò có vân đẹp.Thế giới có 70chi, 450 loài, phân bố chủ yếu ở rừng nhiệt đới, ít ở ôn đới, những loài sơ đẳng nhất phân bố tập trung ở Đông Á và Bắc Mỹ.Việt Nam có 18 chi, 40 loài.Phân loại: Họ được chia thành 8 tông dựa trên cấu trúc hạt: Triclisieae, Peniantheae, Tinosporeae, Hyperbaeneae, Menispermeae (đài và tràng phân biệt), Coscinieae, Fibraureae, Anomospermeae (đài và tràng giống nhau). Họ này gần với Lardizabalaceae.Giá trị kinh tế: Nhiều loài làm thuốc (Stephania rotunda, Coscinium fenestratum). ",79
195,Menyanthaceae,"Trang, Thủy nữ","Menyanthaceae - Họ Trang (Thủy nữ):Cây thủy sinh, lá nổi hình tim, mọc cách và có bẹ gốc.Cụm hoa ở nách, xim, dạng tán gồm nhiều hoa với cuống dài khác nhau. Hoa mẫu 5 (K5C5A5), màu vàng hay trắng. Thùy tràng xếp van-gập-trong hay xếp van. Nhị đính trên ống tràng và xen kẽ với thùy của tràng. Bầu thượng 1 ô với 2 giá noãn bên, mỗi ô chứa nhiều noãn.Quả nang chẻ ô (loculicide), mở bằng 4 van ở đỉnh hoặc quả không tự mở. Hạt đôi khi có cánh.Thế giới có 5 chi và 40 loài, phân bố ở vùng Nhiệt đới, Cận nhiệt đới và Ôn đới.Việt Nam có 2 chi và 6 loài.Phân loại: Nó có họ hàng với Gentianaceae nhưng khác về dạng sống và lá mọc cách, cánh tràng xếp van.Giá trị kinh tế: Sử dụng ở phạm vi địa phương để làm thuốc (Nymphoides).",75
