idBo,Ten_KH,Ten_TV,Mo_ta
47,Lycopodiales,Thông đất,"Gồm những cây thuộc thảo, thân không có cấu tạo thứ cấp. Rễ mảnh. Lá nhỏ có 1 gân. Lá mang túi bào tử tập trung thành bông hay không. Bào tử giống nhau. Thể giao tử ở dưới đất. Túi tinh và túi trứng nằm trên một nguyên tản. Tinh trùng có 2 roi.Chỉ có 1 họ Lycopodiaceae với 3 chi.- Lycopodites : đã hoá thạch- Lycopodium : gồm 400 loài.- Phylloglossum : 1 loàiPhylloglossum drummonii là chi đơn mẫuPhân loại của nhóm này trong những năm gần đây vẫn chưa được giải quyết và sự đồng thuận vẫn chưa có. Các phân loại cũ có định nghĩa và giới hạn rộng hơn cho chi Lycopodium (thạch tùng), và thực tế bao gồm toàn bộ các loài của bộ Lycopodiales. Xu hướng trong những năm gần đây có định nghĩa cho chi Lycopodium hẹp hơn và xếp các loài khác trong vài chi, một sự xếp đặt được cả các dữ liệu hình thái học lẫn dữ liệu phân tử hỗ trợ và nó được phê chuẩn trong một loạt các sửa đổi cũng như các kiểu giải quyết cho nhóm thực vật này. Các chi này rơi vào hai nhóm khác biệt nhưng vẫn chưa có đồng thuận về việc nên công nhận chúng trong một họ duy nhất là Lycopodiaceae hay nên tách chúng ra thành hai họ: là họ Lycopodiaceae với định nghĩa hẹp và họ Huperziaceae (thạch sam).Họ Lycopodiaceae, theo định nghĩa hẹp bao gồm chi còn loài sinh tồn là Lycopodium, bao gồm các loài như thạch tùng châu Âu (hay thạch tùng chân sói) (Lycopodium clavatum), thông đất (Lycopodium obscurum), thạch tùng phương nam hay tuyết tùng đất phương Nam (Lycopodium digitatum) và một số các loài khác. Trong họ này còn có các loài của chi Lycopodiella, như thạch tùng đầm lầy hay thạch tùng nhỏ (Lycopodiella inundata). Phần lớn các loài của chi Lycopodium đều ưa thích các dạng đất cát, chua vùng cao trong khi các loài trong chi Lycopodiella lại ưa đất chua vùng đầm lầy.Nhóm chính khác, họ Huperziaceae còn gọi là thạch sam. Nhóm này bao gồm chi Huperzia, chẳng hạn như thạch sam sáng (Huperzia lucidula), thạch sam núi (Huperzia porophila), thạch sam phương Bắc (Huperzia selago). Nhóm này cũng bao gồm nhóm thực vật kỳ cục dạng thân củ ở Australasia của chi Phylloglossum, mà cho tới tận gần đây người ta vẫn cho rằng chỉ có quan hệ họ hàng xa với thạch tùng. Tuy nhiên, thử nghiệm gen gần đây đã chỉ ra rằng nó có quan hệ họ hàng rất gần với chi Huperzia."
48,Magnoliales,Mộc lan,"Bộ Mộc lan là một bộ thực vật có hoa. Các phân loại mới nhất đưa vào trong bộ này các họ sau:    * Họ Magnoliaceae (họ Mộc lan)
    * Họ Myristicaceae (họ Nhục đậu khấu)
    * Họ Degeneriaceae
    * Họ Himantandraceae
    * Họ Annonaceae (họ Na)
    * Họ EupomatiaceaeBộ Magnoliales là nhóm cơ sở, thông thường hay được đưa vào thực vật hai lá mầm nhưng dường như chúng có quan hệ họ hàng gần gũi với thực vật một lá mầm hơn là với phần lớn các bộ khác của thực vật hai lá mầm. Trong bộ này thì chi Mộc lan (Magnolia) là chi điển hình cho thực vật có hoa nói chung, vì thế một tên gọi khoa học hợp lệ của ngành thực vật có hoa là Magnoliophyta.Hệ thống APGHệ thống APG (1998) và hệ thống APG II (2003) đặt bộ này trong nhánh magnoliids gồm các họ:    Họ Annonaceae
    Họ Degeneriaceae
    Họ Eupomatiaceae
    Họ Himantandraceae
    Họ Magnoliaceae
    Họ MyristicaceaeTrong các hệ thống này, do APG công bố, bộ Magnoliales là nhóm cơ sở, loại ra khỏi eudicots.Các hệ thống sớm hơnHệ thống Cronquist (1981) đặt bộ này trong phân lớp Magnoliidae của lớp Magnoliopsida (=thực vật hai lá mầm) bao gồm các họ:
          o Họ Annonaceae
          o Họ Degeneriaceae
          o Họ Eupomatiaceae
          o Họ Himantandraceae
          o Họ Magnoliaceae
          o Họ Myristicaceae
          o Họ Austrobaileyaceae
          o Họ Canellaceae
          o Họ Lactoridaceae
          o Họ WinteraceaeHệ thống Thorne (1992) đặt bộ này trong siêu bộ Magnolianae, phân lớp Magnoliidae (= thực vật hai lá mầm), trong lớp Magnoliopsida (= thực vật hạt kín) và sử dụng định nghĩa này (bao gồm cả thực vật đặt trong bộ Laurales và Piperales bởi các hệ thống khác):
          o Họ Amborellaceae
          o Họ Annonaceae
          o Họ Aristolochiaceae
          o Họ Austrobaileyaceae
          o Họ Calycanthaceae
          o Họ Canellaceae
          o Họ Chloranthaceae
          o Họ Degeneriaceae
          o Họ Eupomatiaceae
          o Họ Gomortegaceae
          o Họ Hernandiaceae
          o Họ Himantandraceae
          o Họ Illiciaceae
          o Họ Lactoridaceae
          o Họ Lauraceae
          o Họ Magnoliaceae
          o Họ Monimiaceae
          o Họ Myristicaceae
          o Họ Piperaceae
          o Họ Saururaceae
          o Họ Schisandraceae
          o Họ Trimeniaceae
          o Họ WinteraceaeHệ thống Engler, trong phiên bản cập nhật năm 1964, đặt bộ này trong phân lớp Archychlamydeae trong lớp Dicotyledoneae (=thực vật hai lá mầm) gồm các họ:
          o Họ Amborellaceae
          o Họ Annonaceae
          o Họ Austrobaileyaceae
          o Họ Calycanthaceae
          o Họ Canellaceae
          o Họ Cercidiphyllaceae
          o Họ Degeneriaceae
          o Họ Eupomatiaceae
          o Họ Eupteleaceae
          o Họ Gomortegaceae
          o Họ Hernandiaceae
          o Họ Himantandraceae
          o Họ Illiciaceae
          o Họ Lauraceae
          o Họ Magnoliaceae
          o Họ Monimiaceae
          o Họ Myristicaceae
          o Họ Schisandraceae
          o Họ Trimeniaceae
          o Họ Tetracentraceae
          o Họ Trochodendraceae
          o Họ WinteraceaeHệ thống Wettstein, phiên bản cuối cùng công bố năm 1935, không sử dụng tên gọi này mặc dù nó có bộ với định nghĩa tương tự với tên gọi Polycarpicae. Nó được đặt trong Dialypetalae trong phân lớp Choripetalae của lớp Dicotyledones."
49,Malpighiales,Sơ ri (Kim đồng),"Bộ Sơ ri (danh pháp khoa học: Malpighiales) là một bộ lớn của thực vật có hoa, nằm trong nhánh hoa Hồng (""rosids"") theo như phân loại của APG. Phân loại nội bộ của bộ này vẫn chưa rõ ràng và chắc chắn.Trong hệ thống Cronquist cũ thì các họ hiện nay đặt trong bộ này đã phân tán trong nhiều bộ khác, mà không phải bộ nào cũng thuộc về phân lớp Rosidae. Trong số các bộ này, đáng chú ý nhất là Polygalales, Violales, Theales, Linales và Euphorbiales.Nhóm chỏm cây của bộ Sơ ri có lẽ đã rẽ nhánh vào thời gian của kỷ Phấn Trắng-cuối tầng Apt, có lẽ vào khoảng 114 triệu năm trước (Ma) (Davis và ctv. 2005); sự đa dạng hóa dường như diễn ra rất nhanh (Wikström và ctv. 2001, tuy nhiên, các tác giả cho rằng sự phân nhánh có niên đại khoảng 91-88 Ma, còn sự đa dạng hóa chỉ bắt đầu vào khoảng 81-77 Ma, với nhóm thân cây của nhiều họ được xác nhận bằng chứng cứ trước khi bắt đầu phân đại Đệ Tam). Bộ này chứa khoảng 7,8% sự đa dạng của thực vật hai lá mầm thật sự (Magalló và ctv. 1999) và có tầm quan trọng đặc biệt trong các rừng mưa nhiệt đới, tại đó chúng là thành phần quan trọng trong sự đa dạng của các tầng cây thấp; người ta ước tính rằng chúng chiếm tới 28% các loài và tới 38% số lượng cây (Davis và ctv. 2005). Các thành viên của bộ Thạch nam (Ericales) là thành phần chính còn lại.Mặc dù bộ Sơ ri được hỗ trợ khá mạnh như là một nhóm đơn ngành (chẳng hạn Davis và ctv. 2005), nhưng các mối quan hệ trong phạm vi bộ này lại chưa được hiểu rõ ràng (chẳng hạn Soltis và ctv. 2007). Cây phát sinh loài đưa ra tại đây chủ yếu dựa theo Litt và Chase (1999), Schwarzbach và Ricklefs (2000), Chase và ctv. (2002) cùng Davis và Chase (2004), nhưng nói chung là nó phù hợp với các mối quan hệ xuất hiện trong các nghiên cứu rộng hơn. Davis và ctv. (2005) gần đây đã làm cho một số quan hệ trong bộ trở nên dễ hiểu hơn trong các phân tích 4 gen, cụ thể là cho rằng có sự liên hệ giữa các họ với kiểu đính noãn thành vách và cho rằng chi Centroplacus nên được coi như là một họ tách biệt. Việc đưa họ Rafflesiaceae vào trong bộ Sơ ri là theo các phát hiện gần đây của Barkman và ctv. (2004), Davis và Wurdack (2004), và đặc biệt là Davis và ctv. (2006), người đã đặt nó vào với sự hỗ trợ mạnh như là nhóm chị em với họ Đại kích (Euphorbiaceae) nghĩa hẹp. Một điều dường như là có ích khi chấp nhận định nghĩa hẹp cho các họ mà trước đây đã từng nằm trong các họ Flacourtiaceae và Euphorbiaceae nghĩa rộng. Thậm chí nếu các nghiên cứu trong tương lai cho rằng nên có sự tổ hợp lại các chi đã từng đặt trong hai họ này thì việc gộp nhóm trong các đơn vị mới này cũng sẽ khác với những gì đã được đưa ra trong các phân loại cũ. Lưu ý rằng việc tổ chức lại do sự phân chia của họ Flacourtiaceae cũ và sự hợp nhất với các họ Salicaceae/Achariaceae là có tương quan khá tốt với một loạt các đặc trưng hình thái/giải phẫu.Họ Sơ ri (Malpighiaceae) đã được đặt trong bộ Polygalales, một bộ mà hiện nay ITIS vẫn công nhận.Các họ
    * Achariaceae
    * Balanopaceae
    * Bonnetiaceae
    * Caryocaraceae
    * Chrysobalanaceae
    * Clusiaceae
    * Ctenolophonaceae
    * Dichapetalaceae
    * Elatinaceae
    * Erythroxylaceae (họ côca)
    * Euphorbiaceae (họ đại kích)
    * Goupiaceae
    * Humiriaceae
    * Hypericaceae
    * Irvingiaceae
    * Ixonanthaceae (họ hà nu)
    * Lacistemaceae
    * Linaceae (họ lanh)
    * Lophopyxidaceae
    * Malesherbiaceae
    * Malpighiaceae (họ sơ ri)
    * Medusagynaceae
    * Ochnaceae (họ mai)
    * Pandaceae
    * Passifloraceae (họ lạc tiên)
    * Peridiscaceae
    * Phyllanthaceae
    * Picrodendraceae
    * Podostemaceae
    * Putranjivaceae
    * Quiinaceae
    * Rafflesiaceae
    * Rhizophoraceae (họ đước)
    * Salicaceae (họ liễu)
    * Trigoniaceae
    * Turneraceae
    * Violaceae (họ vi ô lét)Theo trang web của APG, truy cập ngày 26 tháng 4 năm 2007, hệ thống APG II còn công nhận thêm các họ Centroplacaceae, Euphroniaceae, Peraceae và chi Bhesa không xếp vào họ nào. Tuy nhiên, họ Peridiscaceae lại không được công nhận. Như vậy theo APG II thì bộ này chứa khoảng 15.935 loài, phân bổ trong 716 chi của 39 họ."
50,Malvales,Cẩm quỳ (Bông),"Bộ Cẩm quỳ còn gọi là Bộ Bông là một bộ thực vật có hoa. Theo định nghĩa của hệ thống APG II thì nó bao gồm khoảng 6.000 loài trong phạm vi 9 họ. Bộ này được đặt trong nhánh hoa Hồng (rosids)- là một phần của thực vật hai lá mầm thật sự (eudicots).Bộ Cẩm quỳ chiếm khoảng 3,2% sự đa dạng của thực vật hai lá mầm thật sự (Magallón, 1989). Thời gian chia tách các nhánh trong nhóm này có sự đáng chú ý đáng kể do nó liên quan tới sự phân bổ cuỉa nhiều họ theo địa lý. Ducousso và ctv. (2004) cho rằng Dipterocarpaceae và Sarcolaenaceae có tổ tiên chung vào khoảng 88 triệu năm trước, trước khi có sự chia tách của Ấn Độ và Madagascar, nhưng một điều không may là các quan hệ trong khu vực này là hoàn toàn không rõ ràng.Các họCác họ theo APG bao gồm:    * Bixaceae- họ Điều nhuộm
    * Cistaceae
    * Cochlospermaceae- họ Huỳnh hoa đăng
    * Diegodendraceae
    * Dipterocarpaceae-họ Dầu
    * Malvaceae- họ Cẩm quỳ
    * Muntingiaceae- họ Trứng cá
    * Neuradaceae
    * Sarcolaenaceae
    * Sphaerosepalaceae
    * Thymelaeaceae-họ TrầmTuy nhiên, trên website của APG, truy cập ngày 25 tháng 4 năm 2007 thì hai họ Cochlospermaceae và Diegodendraceae đã bị nhập vào trong họ Bixaceae và phát sinh thêm một họ mới là Cytinaceae gồm 2 chi là Cytinus và Bdallophytum, nhưng vị trí của họ này trong cây phát sinh loài là chưa rõ ràng.Đặc trưngCác loài trong bộ này chủ yếu là cây bụi và cây thân gỗ; phần lớn các họ phân bổ rộng khắp vùng nhiệt đới và cận nhiệt đới và ít thấy ở khu vực ôn đới trên toàn thế giới. Tại Madagascar, một sự phân bổ đặc biệt đáng chú ý là có ba họ đặc hữu trong bộ Malvales (Sphaerosepalaceae, Sarcolaenaceae và Diegodendraceae).Hình thái của bộ Malvales là đa dạng và có rất ít đặc điểm chung. Trong số những đặc điểm chung phổ biến nhất thì: hình dạng lá thuộc loại lá chân vịt, các đài hoa hợp sinh và cấu trúc và thành phần hóa học đặc biệt của hạt. Vỏ ngoài của cây thường có sợi, nằm trên các lớp li be mềm.Quan hệ phát sinh loài trong bộ Cẩm quỳCác ranh giới và định nghĩa của các họ ""cốt lõi"" của bộ Malvales như Malvaceae, Bombacaceae, Tiliaceae và Sterculiaceae là có vấn đề từ rất lâu. Quan hệ họ hàng cực kỳ gần gũi giữa các họ này, cụ thể là giữa Malvaceae và Bombacaceae, nói chung đã được thừa nhận từ lâu mặc dù các hệ thống phân loại cho đến gần đây vẫn duy trì chúng như là các họ riêng rẽ. Với hàng loạt các nghiên cứu phát sinh loài ở cấp độ phân tử người ta đã có sự đồng thuận cao khi chỉ ra rằng Sterculiaceae, Bombacaceae và Tiliaceae, mà theo truyền thống được định nghĩa như là các họ cận ngành hay đa ngành, nên được hợp nhất lại với họ Malvaceae để tạo ra họ Malvaceae theo nghĩa rộng (sensu lato). Định nghĩa mở rộng của họ Malvaceae đã được thừa nhận trong phiên bản sửa đổi gần đây của các hệ thống như hệ thống Thorne, hệ thống APG và trong xử lý mang tính bao hàm toàn diện gần đây nhất đối với các họ và chi thực vật có mạch là hệ thống Kubitzki (Bayer và Kubitzki, 2003).Họ có số lượng lớn nhất trong hệ thống APG II là họ Malvaceae mở rộng (Malvaceae nghĩa rộng) với trên 4.000 loài, tiếp theo là họ Thymelaeaceae với 750 loài. Định nghĩa mở rộng của họ Malvaceae đã bao gồm toàn bộ các họ Bombacaceae, Sterculiaceae và Tiliaceae. Trong hệ thống Cronquist cũ thì bộ này chứa bốn họ ""cốt lõi"" này cộng với họ Elaeocarpaceae và chúng được đặt trong phân lớp Dilleniidae. Một số họ hiện nay được đặt tại đây thì trước kia đã được Cronquist đặt trong bộ Hoa tím (Violales).Nhiều loài trong họ Malvaceae nghĩa rộng được biết đến vì gỗ của chúng, với chi Ochroma cho gỗ rất nhẹ và chi Tilia cho loại gỗ được dùng phổ biến trong chạm khắc gỗ. Cây ca cao (Theobroma cacao) cho hạt được dùng như là một thành phần của các loại kẹo sô cô la. Hạt cola (chi Cola) đáng chú ý vì chứa hàm lượng cafêin khá cao và trong quá khứ nó đã được dùng rộng rãi trong việc sản xuất nhiều loại đồ uống cola khác nhau."
51,Marattiales,"Dương xỉ tòa sen, Bèo ong","Lớp Dương xỉ tòa sen hay lớp Tòa sen, Bèo ong  là một nhóm dương xỉ chỉ chứa một bộ với danh pháp Marattiales và một họ có danh pháp Marattiaceae. Lớp Marattiopsida đã rẽ nhánh ra khỏi các nhóm dương xỉ khác từ rất sớm trong lịch sử tiến hóa của mình và hoàn toàn khác biệt với nhiều loại thực vật quen thuộc đối với những người ở khu vực ôn đới. Nhiều loài trong lớp này có thân rễ to, nhiều thịt và có các lá lược lớn nhất trong số các loài dương xỉ. Họ Marattiaceae là một trong số hai họ dương xỉ túi bào tử thật, nghĩa là túi bào tử được hình thành từ một nhóm tế bào chứ không phải túi bào tử giả (trong đó túi bào tử sinh ra từ một tế bào ban đầu). Hiện nay, người ta công nhận 4 chi còn sinh tồn là Angiopteris, Christensenia, Danaea và Marattia với nhiều chi đã tuyệt chủng chỉ còn hóa thạch như Psaronius, Asterotheca, Scolecopteris, Eoangiopteris, Qasimia, Marantoidea, Danaeites, Marattiopsis  v.v.Trong nhóm này, tán lá lược lớn có thể thấy ở chi Angiopteris (dương xỉ móng trâu), có nguồn gốc từ Australasia, Madagascar và châu Đại Dương. Các lá lược có thể dài tới 9 m như ở loài Angiopteris teysmanniana ở Java. Tại Jamaica loài Angiopteris evecta đã xâm nhập và thích nghi với điều kiện thổ nhưỡng ở đây. Nó bị coi là loài xâm hại. Loài cây này được Bligh, khi đó là đại úy hải quân của Hải quân Hoàng gia Anh, đưa từ Tahiti vào đây như là nguồn cung cấp lương thực cho các nô lệ và lần đầu tiên được trồng tại các khu vườn Castleton năm 1860. Từ đây, nó đã lan rộng ra khắp nửa phía đông của đảo này.Một chi khác từ Đông Á là Christensenia, một loại dương xỉ kỳ dị với các lá lược tương tự như lá của dẻ ngựa. Tên gọi khoa học của loài Christensenia aesculifolia có nghĩa là lá dẻ ngựa Christensen. Christensen là họ của một nhà dương xỉ học nổi tiếng người Đan Mạch.Chi phổ biến nhất trong họ Marattiaceae là Marattia, có mặt trong khắp khu vực nhiệt đới, thông thường ở các cao độ lớn. Đây cũng là các loài dương xỉ lớn với các thân rễ hình cầu, nhưng các lá lược có thể là dạng lông chim kép tới 4 lần. Các túi bào tử hợp nhất thành các cấu trúc hai mảnh vỏ gọi là cụm túi bào tử. Loài dương xỉ vua (Marattia salicina) ở New Zealand, được người Maori gọi là para cũng thuộc chi này. Đôi khi nó còn được gọi là dương xỉ khoai tây, do loài dương xỉ lớn của Australasia với thân rễ nhiều cùi thịt có thể ăn được đã từng được sử dụng như là nguồn cung cấp lương thực cho một số dân tộc bản địa.Chi thứ tư, Danaea là đặc hữu của khu vực nhiệt đới Tân thế giới. Chúng có các lá lông chim kép với các lá chét mọc đối, là các loài có tính lưỡng hình, các lá sinh sản thu nhỏ lại hơn và được che phủ ở mặt dưới bằng các cụm túi bào tử lõm xuống.Các tên gọi chi như Archangiopteris, Macroglossum, Protangiopteris, Protomarattia đều là từ đồng nghĩa của Angiopteris.Theo các nghiên cứu di truyền ở mức phân tử gần đây thì dường như nhóm dương xỉ túi bao tử thật này là nhóm có quan hệ chị em với mộc tặc (Equisetaceae)."
52,Marchantiales,Rêu tản,"Đặc điểmCơ thể là một tản dẹp màu lục tối, có cấu tạo giải phẫu phức tạp.Túi bào tử mở bằng 4- 8 mãnh van. Có sợi đàn hồi để phát tán bào tử.Mô tảMọc ở nơi ẩm, bờ sông, suối, chân tường ẩm.Cấu tạo cơ thể: Thể giao tử là một tản mỏng màu lục tối, phân nhánh đôi. Trên bề mặt có nhiều lỗ nhỏ li ti để trao đổi khí, làm nhiệm vụ của khí khổng. Mặt dưới tiếp xúc với đất mang nhiều rễ giả và một số lá vảy đơn giản màu tím hoặc nâu. Cắt ngang tản từ trên xuống ta thấy: Lớp tế bào biểu bì trên thỉnh thoảng có các khí khổng, phía dưới khí khổng là phòng khí; Dưới biểu bì là lớp tế bào có diệp lục làm nhiệm vụ quang hợp; Mặt dưới là lớp biểu bì dưới, từ đó mọc ra các rễ giả và các lá vảy.Về sinh sảnSinh sản dinh dưỡng bằng truyền thể. Chén truyền thể nằm ở mặt trên của tản có hình chén, bên trong chứa nhiều khối tế bào hình bản dẹp, màu lục, có 2 thuỳ gọi là truyền thể. Khi được phát tán, truyền thể nẩy mầm tạo ra cơ thể mới; + Sinh sản hữu tính: Cơ quan sinh sản là túi tinh và túi trứng nằm trên các tản khác nhau. Túi tinh nằm trong chụp đực, mọc ra ở phần đầu của các tản đực. Chụp đực có dạng hình sao mang túi tinh trong các khoang ăn sâu vào phía trên. Túi tinh có hình trứng, bên trong chứa tinh trùng có hai roi. Túi trứng nằm trong chụp cái. Chụp cái hình sao có múi, chứa các túi trứng trong lớp màng ở mặt dưới chụp. Túi trứng có cấu tạo hình cái chai, phần bụng chứa tế bào trứng.Sự thụ tinh nhờ nước. Sau khi thụ tinh, hợp tử phát triển thành phôi, phôi phát triển thành thể tử nang (thể bào tử) nằm trong túi trứng cũ. Trong túi bào tử chứa tế bào về sau có sự phân hoá: Một số giảm nhiễm cho bào tử đơn bội; Một số phát triển thành sợi đàn hồi để phát tán bào tử;  Bào tử nẩy mầm cho sợi nguyên và hình thành tản mới.Vậy trong chu trình sinh sản của Rêu tản có sự xen kẽ thế hệ và thể giao tử (n) chiếm ưu thế.Phân loạiGồm 12 họ, 33 chi và 453 loài. Họ lớn và phổ biến hơn cả là họ Rêu tản Marchantiaceae có 8chi, 75 loài. Ở nước ta có 2 chi, 4 loài.Đại diện điển hình: Cây Rêu tản (Địa tiền) Marchantia polymorpha L."
53,Marsileales,Rau bợ,
54,Myricales,Dâu rượu,"Bộ Thanh mai (danh pháp khoa học: Myricales) là tên gọi của một bộ thực vật, được công nhận trong một vài hệ thống phân loại thực vật. Trong hệ thống phân loại năm 1981 của Arthur John Cronquist bộ này chỉ chứa một họ (Myricaceae) với khoảng 50 loài trong thực vật hai lá mầm, thuộc phân lớp Kim lũ mai (Hamamelidae). Hệ thống APG II năm 2003 không công nhận bộ này và đặt họ duy nhất của nó trong bộ Dẻ (Fagales)."
55,Myrtales,Sim,"Bộ Đào kim nương, gọi theo tên chi Myrtus với danh pháp khoa học: Myrtales, còn gọi là bộ Sim (gọi theo tên chi Rhodomyrtus) là một bộ trong thực vật có hoa lớp hai lá mầm và nhánh hoa Hồng.Bộ Myrtales chiếm khoảng 6% sự đa dạng trong thực vật hai lá mầm thật sự phần lõi. Các hóa thạch được coi là của bộ này có niên đại khoảng 65 triệu năm trước (Crepet và ctv., 2004). Các loài sâu bướm Lycaenidae được tìm thấy rất phổ biến trên các thành viên của bộ này (đặc biệt là các họ Lythraceae, Myrtaceae, Combretaceae).Vị trí của bộ Myrtales trong nhánh Hoa hồng là không ổn định trong các phân tích rbcL gần đây của thực vật hạt kín (Hilu và ctv., 2003). Quan hệ trong bộ cũng đã được nghiên cứu khá chi tiết trong các công trình của Conti và ctv. (1996, 1998, 1999, 2002), Sytsma và ctv. (1998, 2004), Clausing và Renner (2001: Melastomataceae), Schönenberger và Conti (2001, 2003: chủ yếu là Oliniaceae) hay Wilson và ctv. (2005: Myrtaceae nghĩa rộng) và cây phát sinh loài đưa ra tại đây là dựa theo các ấn phẩm đó. Vị trí của họ Combretaceae dường như vẫn chưa rõ ràng.Theo APG II thì bộ này chứa 11 họ với 380 chi và trên 11.000 loài. Các họ sau là điển hình trong các phân loại mới nhất:    * Họ Alzateaceae
    * Họ Combretaceae
    * Họ Crypteroniaceae
    * Họ Heteropyxidaceae (APG II coi là một phần của Myrtaceae)
    * Họ Lythraceae (họ trân châu, thiên khuất)
    * Họ Melastomataceae (Họ Mua)
    * Họ Memecylaceae
    * Họ Myrtaceae (họ đào kim nương, sim)
    * Họ Oliniaceae
    * Họ Onagraceae (họ anh thảo chiều)
    * Họ Penaeaceae
    * Họ Psiloxylaceae (APG II coi là một phần của Myrtaceae)
    * Họ Rhynchocalycaceae
    * Họ VochysiaceaeTrong hệ thống phân loại Cronquist cũ gần như về cơ bản có sự phân loại giống như trên, ngoại trừ họ Vochysiaceae nằm trong bộ Polygalales và họ Thymelaeaceae được đưa vào đây. Các họ Sonneratiaceae, Trapaceae và Punicaceae được loại ra khỏi họ Trân châu (Lythraceae), trong khi các họ Psioxylaceae và Heteropyxidaceae được cho vào họ Đào kim nương (Myrtaceae), và họ Memecyclaceae nằm trong họ Mua (Melastomataceae)."
56,Nepenthales,Nắp ấm,"Bộ Nắp ấm hay còn có tên gọi khác là Nắp bình, Bình nước là một danh pháp thực vật cho một bộ thực vật có hoa. Tên gọi này được sử dụng trong hệ thống Cronquist cho bộ thuộc phân lớp Sổ (Dilleniidae) và trong phiên bản năm 1981 của hệ thống này thì nó bao gồm các họ sau:    * bộ Nepenthales          họ Droseraceae - họ Gọng vó, cẩm địa la, mao cao
          họ Nepenthaceae - họ Nắp ấm (Cựu thế giới)
          họ Sarraceniaceae - họ Nắp ấm (Tân thế giới)Hệ thống APG IIHệ thống APG II đưa họ cuối cùng vào trong bộ Thạch nam (Ericales) và hai họ đầu tiên vào bộ Cẩm chướng (Caryophyllales). Điều này là ngược lại với cái mà người ta có thể mong chờ khi chỉ xem xét theo phương pháp bắt côn trùng.Theo phương pháp bắt côn trùng thì họ Droseraceae đứng riêng, các loài cây gọng vó bắt côn trùng bằng các giọt nhỏ chất keo dính và trong họ này thì cây bắt ruồi Vệ Nữ (Dionaea muscipula) bắt côn trùng trong lá bằng các răng cài vào nhau. Hai họ còn lại là các loài cây nắp ấm, chúng giết chết con mồi bằng cách dìm cho chúng chết trong dung dịch nước (chứa các enzym tiêu hóa hay vi khuẩn) bên trong ấm của chúng."
57,Nymphaeales,Súng,"Bộ Súng là một đơn vị phân loại thực vật ở cấp bộ. Bộ này không phải là một bộ phận của hệ thống APG II năm 2003 (không thay đổi từ hệ thống APG  năm 1998). Tuy nhiên, nó lại được một số hệ thống phân loại thực vật công nhận, nhưng các hệ thống đó lại sử dụng các vị trí khác nhau cho các họ trong bộ này. Cụ thể là một số nhà hệ thống hóa thực vật mà đang sử dụng hệ thống APG II hiện nay cũng dùng bộ này và giới hạn nó chỉ bao gồm 2 họ là họ Súng (Nymphaeaceae) và họ Rong lá ngò (Cabombaceae). Tuy nhiên, trên website của APG, được truy cập ngày 11 tháng 4 năm 2007, thì người ta lại đặt cả họ Hydatellaceae  vào trong bộ này, một phân loại không được ghi nhận trong Saarela và ctv., nhưng trong đó người ta có gợi ra các khả năng về quan hệ nhóm chị-em giữa Nymphaeales và Hydatellaceae.Bộ này được coi là một nhóm cơ bản hay phân kỳ sớm của thực vật hạt kín. Các họ trong bộ này được kết hợp lại như là các họ của các loài thực vật thân thảo sống thủy sinh và đã được biết đến từ các mẫu hóa thạch có từ thời kỳ Tiền Phấn trắng. Một điều có thể đúng là hóa thạch của Archaefructus sống thủy sinh cũng thuộc về bộ này.Hệ thống phân loạiHiện tại Nymphales gồm các họ:NymphaeaceaeCabombaceaeHydatellaceaeCác hệ thống khácCronquistHệ thống Cronquist năm 1981 đặt bộ này trong phân lớp Magnoliidae thuộc lớp Magnoliopsida, gồm các họ:        * Họ Barclayaceae: Các loài súng
        * Họ Cabombaceae: Các loài rong lá ngò
        * Họ Ceratophyllaceae: Các loài rong đuôi chồn
        * Họ Nelumbonaceae: Các loài sen (APG chuyển họ này sang bộ Quắn hoa (Proteales).
        * Họ Nymphaeaceae: Các loài súngThorne (1992)Hệ thống Thorne (1992) đặt bộ này trong siêu bộ Nymphaeanae thuộc phân lớp Magnoliideae, gồm các họ:        * Họ Cabombaceae
        * Họ NymphaeaceaeDahlgrenHệ thống Dahlgren đặt bộ này trong siêu bộ Nymphaeanae thuộc phân lớp Magnoliideae, gồm các họ:        * Họ Cabombaceae
        * Họ Ceratophyllaceae
        * Họ Nymphaeaceae "
