idChi,Ten_KH,Ten_TV,Mo_ta,idHo
104,Aloysia,,,322
105,Alphitonia,"Tai tượng trắng, Hàn tầu đẻn","ALPHITONIA Reissek ex Endl.Cây gỗ hoặc cây bụi. Lá mọc so le, có gân lông chim.Cụm hoa chùm mang xim hai ngả, có nhiều hoa. Hoa mẫu 5, bầu nằm trong chén. Quả hạch hình cầu hoặc hình trứng rộng, chứa 2 - 3 hạch; vỏ quả ngoài dày; hạt có vỏ mỏng, màu nâu. Quả hạch thường mang phần tồn tại của hoa.Gồm 6 loài ở vùng Mã Lai, Ôxtrâylia và Tây Thái Bình Dương. Ở Việt Nam có 1 loài : Alphitonia philippinensis",264
106,Alphonsea,Thâu lĩnh,"ALPHONSEA Hook. et Thoms.Cây gỗ nhỏ hay cây bụi. Lá dai như da, gân chính nổi rõ ở mặt trên, gân bên rõ hoặc mờ. Hoa lưỡng tính, mọc ở nách lá. Lá đài 3, xếp van; cánh hoa 6, xếp van thành 2 vòng; nhị nhiều (20 - 50); lá noãn 1 - 10. Phân quả thường có vỏ dày; hạt 4 - 20Có khoảng 30 loài phân bố ở Nam và Đông Nam Á",18
107,Alpinia,Riềng sẹ,"ALPINIA Swartz[Đề tặng Prospero Alpinio (1553 - 1617) nhà thực vật học Italia]Cây thảo có thân rễ ở dưới đất tạo ra một số lượng nhiều hay ít các nhánh khí sinh mang lá. Lá xếp hai dãy, hình ngọn giáo, có bẹ chẻ ra và có lưỡi bẹ (mép).Cụm hoa chùm hay bông kép. Hoa lưỡng tính không đều. Đài hình ống xẻ ra ở đỉnh. Tràng có ống ngắn, có phiến ngoài chia thành môi bằng nhau, có phiến trong tiêu giảm thành cánh môi nguyên hoặc chỉ hơi có thùy và do sự biến thái của 2 nhị thành phiến dạng cánh, nhị thứ ba duy nhất là hữu thụ. Bầu trên, 3 ô, chứa nhiều noãn. Vòi dạng sợi có đầu nhụy dạng đầu, có 3 góc chìm trong 2 ô của bao phấn. Quả dạng quả mọng. Hạt có áo hạt.Gồm 250 loài của các vùng nóng  châu Á tới vùng Thái Bình Dương",345
108,Alseodaphne,Sụ,"ALSEODAPHNE NeesCây gỗ thường xanh. Lá mọc so le hoặc gần mọc đối, gân lông chim.Hoa lưỡng tính họp thành cụm hoa hình chùy. Nhị 9, ở gốc chỉ nhị có tuyến; bao phấn 4 ô; bao hoa dễ rụng. Quả hình bầu dục hoặc gần hình cầu; cuống quả mập béo.Gồm khoảng 50 loài phân bố từ Vân Nam đến miền tây Malaixia. Ở Việt Nam có 9 loài mà nhiều loài cho gỗ; thường nói đến là: Alseodaphne hainanensis",167
109,Alstonia,"Sữa, Mốp, Mò cua","ALSTONIA R.Br.[Lấy tên của Charles Alston (1653 - 1760), người Anh, giáo sư y học ở Edinburg]Cây gỗ hay cây nhỏ, có nhựa mủ trắng. Lá đơn, mọc vòng 3 - 4 hay 5 - 8. Hoa xếp thành cụm hoa xim dạng tán ở̉ nách lá hay thành chùy ở đầu cành; đài và tràng hợp, nhị 5 đính trên ống tràng; bầu 2 ô. Quả đại 2 rời nhau, chứa nhiều hạt; hạt có lông mào ở hai đầu.Gồm tớí 43 loài ở châu Phi, Trung Mỹ, Trung Quốc, vùng Ấn Độ - Mã Lai đến Tây Thái Bình Dương và Nuven Calêđôni",20
110,Alternanthera,"Rau dền, Dệu","ALTERNANTHERA Forssk.[Từ  chữ  Latin  alternus: so le và chữ Hy Lạp anthera: nhị; nhị mọc xen kẽ]Cỏ phân nhánh nhiều, ít khi là cây bụi, với thân chia đốt hay không. Lá đơn mọc đối. Hoa lưỡng tính hoặc có khi đa tính khác gốc, xếp thành cụm hoa đầu ở ngọn hay ở nách lá. Bao hoa gồm 5 phiến. Nhị 5 dính nhau ở gốc thành dạng chậu và xen kẽ với 5 nhị lép dạng bản.Gồm 80 loài nhiệt đới và các vùng nóng",12
111,Altheae,"Thục quỳ, Mãn đình hồng","ALTHAEA L.[Từ chữ Hy Lạp althaia: sự khỏi bệnh. Liên hệ đến các tính chất làm dịu đau của cây]Cây thảo sống hằng năm, hai năm hay lâu năm. Lá mọc so le.Hoa mọc đơn độc, ở nách lá. Có đài phụ. Nhị có chỉ nhị dính nhau thành ống, các nhị gắn thành một phần dài theo đường xoắn ốc. Lá noãn nhiều, 25 - 45.Gồm 12 loài, từ châu Âu tới Đông Bắc Xibêri. Ở Việt Nam, có trồng 1 loài: Althaea rosea",185
112,Altingia,"Tô hạp, Tẩm","Cây gỗ có kích thước lớn. Lá tồn tại hay sớm rụng, nguyên, có lá kèm nhỏ. Cụm hoa đực và cái thành đầu, bao bởi 4 lá bắc. Hoa đơn tính, cùng gốc. Hoa đực thành đầu hay chùm có nhị xen kẽ với nhiều lá bắc nhỏ; nhị có chỉ nhị ngắn và bao phấn đính gốc. Hoa cái thành đầu, đơn độc hay ở gốc các cụm hoa đực, hoa dính nhau, không có đài và tràng; nhị thô sơ hay không có; đĩa mật chia thùy; bầu bán hạ, 2 ô; vòi nhụy 2, cong; noãn nhiều, thành 4 dãy. Quả thành đầu hình cầu, hóa gỗ bao bởi các thùy của đĩa đồng trưởng. Quả nang phát triển xen lẫn những quả bị thui. Hạt nhiều, chỉ có một hoặc nhiều cái ở dưới phát triển, dẹp và có cánh dọc theo mép.Gồm 7 loài của vùng Atxam, Nam Trung Quốc đến Malaixia và Inđônêxia",142
113,Alysicarpus,"Bút quả, Đậu vẩy ốc","ALYSICARPUS Neck. ex Desv.[Từ a: không, lyein: tháo ra, cởi ra và carpos: quả; liên hệ đến hình dạng của quả có đốt dính nhau]Cỏ cứng. Lá thường có 1 lá chét, dai. Cuống lá có rãnh. Lá kèm phát triển, có khía; có lá kèm nhỏ.Cụm hoa ở nách lá và ở ngọn thành chùm dạng bông. Lá bắc dạng lá kèm, dễ rụng. Đài dạng vẩy, có 4 - 5 thùy lợp, 2 thùy trên dính cao nhiều hay ít. Tràng thụt hay hơi lồi; cánh cờ rộng, không có tai; cánh bên và thìa hẹp. Nhị hai bó. Bầu không cuống, nhiều noãn; vòi nhụy cong, không đều; đầu nhụy hình đầu.Quả gần hình trụ, mọc đứng, chia làm nhiều đốt, chứa mỗi đốt 1 hạt.Gồm khoảng 30 loài phân bố ở các vùng nóng của Cựu lục địa",129
114,Alyxia,Ngôn,"ALYXIA Banks ex R.BrDây leo hay cây bụi leo, trườn, không lông, có mủ trắng. Lá đơn, mọc đối hay mọc vòng 3. Cụm hoa xim ngắn ở nách lá. Đài có lông. Tràng có các cánh hoa chồng lên nhau bên trái. Nhị 5, không thò ra ngoài. Bầu có lông, quả đại xếp từng cặp, có khi thành chuỗi 1 - 3 đốt, thường mập và chứa ít hạt. Hạt có nội nhũ nhăn.Gồm 120 loài của vùng Ấn Độ - Mã Lai đến Tây Thái Bình Dương",20
115,Amalocalyx,"Sơn đôn, Mác chim","AMALOCALYX Pierre.Cây bụi hay dây leo có nhiều nhựa mủ. Lá đơn, mọc đối. Cụm hoa xim ở nách lá hay ở ngọn. Cánh hoa xếp chồng lên nhau ở bên phải; miệng ống tràng không có vẩy. Nhị đính ở phía trên ống tràng và không thò ra ngoài. Quả đại từng cặp xếp sát nhau. Hạt nhiều, có mào lông.Có 3 loài ở Đông Nam châu Á. Ở Việt Nam có 1 loài: Amalocalyx microlobus",20
116,Amaranthus,"Rau dền, Dền","AMARANTHUS L.[Từ̀ a: không, maraino: tôi tàn và anthos, hoa. Hoa không bị tàn lụi]Cỏ mọc hằng năm, ít khi là cây sống lưu niên, thường cùng gốc. Lá thường mọc so le, nguyên. Cụm hoa ở ngọn hay nách lá thành xim đơm đơn hay thành chùy bông, với hoa đơn tính, nhỏ. Lá bắc thường bao quanh hoa; lá bắc con 2 (-3-5), tất cả đều dạng vẩy. Bao hoa với 3 hay 5 phiến dạng màng, gần bằng nhau, có màu thay đổi. Nhị 5 có chỉ nhị rời, dạng sợi, nhị lép không có. Bầu dạng trứng nhiều hay ít, noãn thẳng; vòi nhụy ngắn hay không có; đầu nhụy 3(-2). Quả dạng túi không mở hay quả nang mở vòng hoặc không đều; hạt dạng thấu kính; phôi ngắn quanh ngoại nhũ bột.Gồm khoảng 40 loài phân bố ở các vùng nóng, phần lớn là cỏ dại mọc khắp thế giới",12
117,Amaryllis,Loa kèn đỏ,AMARYLLIS L.[Lấy tên một cô gái chăn cừu trong thơ của thi sĩ Hy Lạp Theocrate và thi sĩ Latin Virgile]Cây thảo có thân hành. Lá rụng. Hoa to xếp thành tán.Chỉ có một loài ở Nam Phi. Việt Nam có trồng 1 loài : Amaryllis belladonna,13
118,Amentotaxus,"Dẻ tùng, Sam bông","AMENTOTAXUS Pilg.[Từ chữ Latin amentum, đuôi sóc, liên hệ đến cụm hoa đực thành đuôi sóc đơn độc khác với cụm hoa đực của Taxus thành bông]Cây nhỡ hay cây gỗ khác gốc. Lá xếp trên một mặt phẳng, hơi xoắn ở gốc, mọc đối chéo chữ thập, hình dải ngọn giáo rộng, ở mặt dưới có hai dải lỗ khí khá rõ, màu trắng hay trắng vàng, màu hung hay nâu nâu, thường hẹp hơn các phần màu lục ở mép lá. Bông đuôi sóc đực 20 - 30, thành bông ở gần ngọn hay ở bên, đơn độc hay thành bó 2 - 6, dài 2 - 3cm, trên cuống ngắn mang vẩy; nhị 8 - 15 trong mỗi bông đuôi sóc; mang 2 - 8 túi phấn có phần phụ dạng phiến lá ở phía trên. Nón cái hình cầu, gồm 5 cặp vẩy, không sinh sản, xếp đối chéo chữ thập và 1 vẩy sinh sản mang 1 noãn ở gốc. Hạt đơn độc, hình bầu dục hay hình trứng, có mỏ ở đỉnh; có hạt dính với vỏ ở gốc, màu đo đỏ.Có 6 loài phân bố ở Bắc Ấn Độ (Atxam), Nam Trung Quốc đến Đài Loan, Bắc Bộ và Trung Bộ Việt Nam. Ở Việt Nam có 4 loài mà 3 loài đã biết có ý nghĩa kinh tế:Amentotaxus argotaeniaAmentotaxus poilaneiAmentotaxus yunnanensis",303
119,Amesiodendron,Trường ngấn,"AMESIODENDRON HuCây gỗ thường xanh. Lá kép lông chim một lần, mọc so le; lá chét 3 - 5 đôi, mọc đối hay gần đối, mép có khía răng cưa.Hoa nhỏ, tạp tính, họp thành cụm hoa chùy ở ngọn hay gần ngọn. Đài dạng cốc, 5 thùy; cánh hoa 5, gốc dày và có lông; đĩa mật dạng cốc; nhị 8 - 9; bầu 3 ô, có lông rậm, vòi dài hơn bầu, đầu chia 3 không rõQuả nang gần hình cầu, vỏ quả hóa gỗ, khi chín nứt ra; hạt hình cầu dẹt, màu nâu vàng, gốc có sẹo hình bầu dục.Có 1 loài ở Trung Quốc và Việt Nam : Amesiodenron hispida",276
120,Amischotolype,,,84
121,Amitostigma,,,222
122,Ammannia,"Mùi chó, Vẩy ốc ruộng","AMMANNIA L.[Để tưởng nhớ nhà thực vật học Thụy Điển Johann Amman (1707 - 1741) nghiên cứu Thực vật có hạt]Cây thảo mọc hằng năm; thân phân nhánh, có hình 4 cạnh. Lá mọc đối, chéo chữ thập, không cuống, có khi cụt hình tim ở gốc; chỉ có gân giữa.Cụm hoa ở nách lá, lưỡng phân, nhiều hoa, có khi thành xim đơm không cuống; hoa nhỏ, mẫu 4. Đài hình chuông, thùy 4; cánh hoa 0 - 4,  sớm rụng; nhị 2 - 8, thường là 4, đính ở khoảng giữa ống, dưới các thùy. Nhụy có bầu không cuống, với 1 - 2 - 4 ô, vòi nhụy dài nhiều hay ít, đầu nhụy hình cầu, mở bởi phần nứt không đều ở chỏm.Gồm 30 loài phân bố ở khắp thế giới, chủ yếu ở nơi ẩm. Ở Việt Nam có 3 loài, mà 2 loài phổ biến :Ammannia auriculataAmmannia baccifera",182
123,Ammi,Cần ami,"AMMI L.[Từ chữ ammos: cát, liên hệ đến nơi sống của cây]Cây thảo. Lá xẻ nhiều thành phiến hẹp. Cụm hoa tán đơn. Quả bế, có cạnh dọc.Có 6 loài của vùng Macronesia, Nam châu Âu, Tây Á và ở Bắc Mỹ. Việt Nam có nhập trồng 1 loài : Ammi visnaga",20
124,Amomum,"Sa nhân, Thảo quả","AMOMUM Roxb.[Tên Latin của cây, từ chữ Hy Lạp amomon, chữ Ả rập hamama]Cây có thân rễ; thân khi sinh mang lá xếp 2 dãy. Hoa xếp thành bông hay chùm. Đài có ống ngắn, chẻ ra. Tràng có 4 phiến, 3 phiến ngoài không đều và cái thứ tư tạo thành cánh môi. Chỉ có 1 nhị hữu thụ. Bầu hạ mang vòi dạng sợi.Quả thường nạc và mở, hạt nhiều, có áo hạt.Gồm 90 loài từ châu Á tới Ôxtrâylia",345
125,Amorphophallus,,,85
126,Ampelocalamus,,,244
127,Ampelocissus,,,325
128,Ampelopsis,,,325
129,Ampelopteris,,,308
130,Amphicarpaea,,,129
131,Amydrium,,,85
132,Anacardium,,,14
133,Anacolosa,,,216
134,Anadendrum,,,85
135,Anamirta,"Đông cầu, Dây táo","ANAMIRTA Colebr.[Có lẽ là tên chính của cây]Dây leo to hóa gỗ. Lá đơn, mọc so le, hình khiên lệch, có cuống dài. Hoa tập hợp thành chùy. Hoa nhỏ, đơn tính. Hoa cái có bao hoa đầy đủ với 6 lá đài, 3 cánh hoa, 3 - 5 lá noãn và 1 - 2 đầu nhụy. Hoa đực có 20 - 30 nhị họp thành đầu hình cầu, chỉ nhị ngắn, bao phấn nứt ngang.Quả hạch, hạt có phôi hình sắt móng ngựa, có nhiều phôi nhũ bao quanh, các lá mầm thẳng, áp cái nọ lên cái kia .Chỉ có 1 loài ở vùng Ấn Độ – Mã Lai, có gặp ở Việt Nam: Anamirta cocculus",194
136,Ananas,Dứa,"ANANAS Adans.[Tên dân gian của bộ tộc Tupi ở Brazin]Cây bụi thấp, khỏe, có thể cao đến 1,30m. Lá hình kiếm kéo dài dạng dải, mọc từ gốc rễ, cứng, có rãnh, mép có gai, thành vòng hoa thị rậm, dài từ 1 - 1,50m và rộng 5cm.Hoa tập hợp thành bông dày đặc thường có một vòng lá ở đỉnh. Các mảnh bên trong của bao hoa có ở phía gốc trong, 2 cái vẩy dạng ống cho các chỉ nhị đi xuyên qua. Quả dạng quả mọng, có lá bắc ăn được dính với nhau để tạo thành một tổng thể gần hình trụ gọi là quả tụ có thể nặng từ  1 đến 3kg.Gồm 8 loài ở nhiệt đới châu Mỹ. Ở Việt Nam có trồng loài: Ananas comosus",50
137,Anaphalis,"Cúc bạc, Khúc dại","ANAPHALIS DC.[Tên Hy Lạp của cây].Cây thảo sống nhiều năm, có thân mọc ngang nông, thân đứng có lông. Lá có phiến phủ lông mềm màu trắng bạc. Hoa xếp thành ngù dày đặc, các hoa đầu nhỏ, mang hoa đơn tính, bao chung gồm nhiều lá bắc dạng vẩy màu bạc lởm chởm. Quả bế có chùm lông.Gồm khoảng 100 loài của miền ôn đới Bắc và các nước nhiệt đới. Ở Việt Nam 4 loài, thường nói đến nhiều là: Anaphalis margaritacea",32
138,Anaxagorea,Quả đầu ngỗng,"ANAXAGOREA St.Cây bụi hay cây gỗ nhỏ. Lá hình ngọn giáo, không lông. Hoa lưỡng tính, mọc ở đỉnh cành hoặc ngoài nách lá hay nách lá. Lá đài 2 - 3, xếp van thành 2 vòng; nhị nhiều và bất định; lá noãn thường ít. Phân quả dạng đại, mở bằng đường nứt bụng; hạt 2.Có khoảng 30 loài, chủ yếu ở châu Mỹ; ở châu Á có 5, 6 loài. Ở Việt Nam chỉ gặp 1 loài: Anaxagorea luzonensis",18
139,Ancistrocladus,"Trung quân, Trương quân","ANCISTROCLADUS Wall.,[Từ chữ chữ Hy Lạp ancistron: dao mổ cong và klades: cành, tược, đọt; do cành cây có móc cong]Cây leo, cành có móc. Lá mọc so le, hình ngọn giáo, mép lá nguyên.Hoa lưỡng tính, xếp thành cụm hoa chùy. Lá đài 5, khi kết quả thì phát triển thành cánh kèm theo quả. Cánh hoa 5, xếp vặn. Nhị 5 - 10 trong đó có 5 nhị ngắn hơn. Bầu có 1 ô, 1 noãn mọc ở gốc. Quả không mở, có cánh, hạt gần tròn.Chi này phổ biến ở vùng nhiệt đới châu Á và Tây Phi.",15
140,Anderea,,,50
141,Andrographis,"Xuyên tâm liên, Công cộng","ANDROGRAPHIS Wall. ex. Nees[Từ chữ Hy Lạp áner, sinh cách andros:  người đàn ông, và graphe: bức vẽ, bản vẽ, từ graphein: viết hay vẽ, do bao phấn có râu]Cây thảo hay cây bụi thấp. Lá đơn, mọc đối. Cụm hoa chùm ở nách lá hay ở ngọn. Tràng có hai môi tiền khai không vặn; cánh hoa trên chồng lên cánh hoa bên. Nhị 2 có bao phấn có râu. Bầu chứa nhiều noãn. Quả nang dẹp, hạt tròn.Có 20 loài ở miền nhiệt đới châu Á.",1
143,Androsace,"Điểm địa, Báo xuân hoa","ANDROSACE L.[Từ chữ Hy Lạp aner, andros: người đàn ông và sakes: cái khiên; liên hệ hình dạng của lá]Cây thảo sống hằng năm hay sống lâu năm, có thân bồ hay dạng bụi. Lá đơn, xếp thành hoa thị hay thành cột dày đặc; phiến lá nguyên hay khía tai bèo.Hoa đơn độc, ở ngọn hoặc xếp thành tán có cuống. Đài có 5 thùy. Tràng có ống ngắn, 5 thùy trải ra. 5 nhị thọt vào trong. Quả nang có 5 van.Gồm tới 100 loài của các vùng ôn đới Bắc mà nhiều loài được trồng làm cảnh. Ở Việt Nam có 1 loài : Androsace umbellata",244
144,Aneilema,Cỏ rươi,"ANEILEMA R. Br.Cỏ có thân mọc trườn, rất gần gũi với Thài lài Commelina, nhưng có cụm hoa hình chùy và có cuống chìm trong các lá bắc. Hoa màu lam nhạt.Gần 60 loài ở các vùng nóng, chủ yếu ở châu Phi. Ở Việt Nam, có nhiều loài được chuyển vào chi Murdannia. Hiện biết 4 loài nhưng ít phổ biến.",255
145,Anemone,"Phong quỳ, Dã miên hoa","ANEMONE L.[Từ chữ Hy Lạp anemos: gió, do đó mà có anemone, tên Hy Lạp của cây phong quỳ, các loài cây này mọc ở những nơi trống gió hoặc vào mùa có gió]Cây thảo sống nhiều năm, gốc thành củ, có thân rễ hoặc mọc thành bụi. Lá mọc so le, bị chia cắt sâu nhiều hay ít.Hoa đều, đơn độc hay thường thành tán có một bao chung gồm 3 lá chét. Đài dạng cánh, có màu trắng, vàng, đỏ hoặc lam,  5 - 10 phiến; tràng không có; nhị nhiều, lá noãn có vòi nhụy. Quả bế, đơn hạt, rời, tập hợp thành đầu.Gồm 120 loài, phần lớn phân bố toàn cầu, chủ yếu ở ôn đới Bắc",84
146,Anethum,Thìa là,"ANETHUM L.[Từ chữ Hy Lạp anéthon, tên cây thìa là ở Hy Lạp, có thể dẫn xuất từ chữ aithos, tôi đốt, do mùi vị của hạt]Cây thảo hằng năm, mọc đứng, có thân, không lông. Lá có cuống, với phiến phân cắt rất nhiều thành các đoạn dạng sợi.Cụm hoa tán kép. Bao chung và bao riêng không có. Hoa vàng với cánh hoa tròn, tù. Quả hình trứng, nhẵn, có cạnh sơ cấp không đều, các chỗ nối có cạnh, không có cạnh thứ cấp. Hạt có mặt nối phẳng.Có một loài gốc ở châu Á, được trồng hầu như khắp nơi",262
147,Angelica,"Bạch chỉ, Đương quy, Tiền hồ","ANGELICA L.[Từ aggelos, thiên thần, do đó mà nó có tên aggelikos, tên Hy Lạp của cây Bạch chỉ, mà các tính chất thơm và làm thuốc được xem như là cây đến từ trời, nghĩa là nơi nghỉ của thiên thần]Cây thảo, sống dai, với thân rỗng ruột, khỏe, không lông hoặc có lông mềm, với rễ củ dày. Lá có cuống, với cuống ôm thân, có khi phình. Phiến dạng màng tới dai, hình lông chim hoặc xẻ lông chim nhiều lần hoặc chia ba tới xẻ ba, có các đoạn có răng hoặc có thùy, thường hợp lưu.Cụm hoa tán kép, thường ở ngọn, hoặc ở ngọn và ở bên. Bao chung có lá bắc lớn có khi không có. Tia thường nhiều. Lá bắc con hẹp, nguyên, ít khi chia thùy hay không có. Hoa trắng hay hồng hoặc tía. Cánh hoa bằng nhau, hình trái xoan hay trái xoan ngược. Răng đài không rõ hay nhọn. Vòi nhụy ngắn hay dài. Chân vòi hình nón, ngắn.Quả dẹp lưng, thuôn tới hình tròn. Cạnh bên có cánh, cạnh lưng mảnh. Ống dầu nhiều. Hạt dẹp.Gồm khoảng 50 loài của vùng quanh Bắc Cực và Bắc Mỹ",19
148,Angelonia,"Bâng khuâng, Ngọc hân","ANGELONIA Humb. et Bonpl.[Từ chữ Latin angelus: thiên thần]Cây thảo hay cây nhỡ mọc đứng, bò hay leo. Lá có gốc mọc đối, các lá phía trên mọc so le, có mép nhăn hay nguyên.Hoa đơn độc ở nách hoặc thành chùm ở ngọn. Đài có 5 thùy sâu, gần bằng nhau, hình ngọn giáo. Tràng 2 môi, có ống rất ngắn; phiến trải ra với 5 thùy tròn; môi trên 2 thùy, môi dưới 3 thùy mà thùy giữa dạng đấu ở phần dưới  và có ở đoạn giữa, một phần kéo dài rách mép. Nhị 4, bao phấn 2 ô rẽ ra. Bầu hình cầu hay hình nón.Quả nang hình cầu hay dạng bầu dục, mở ô bởi 2 ngăn; hạt nhiều.Gồm tới 30 loài của nhiệt đới châu Mỹ; một số được thuần hóa trong các vùng nhiệt đới khác của thế giới. Ở Việt Nam có gặp 1 loài: Angelonia goyazensis",19
149,Angiopteris,Móng ngựa,"ANGIOPTERIS Hoffm.[Từ chữ Hy Lạp angeion: cái lọ, cái thùng và pteris: cánh]Dương xỉ dạng cây gỗ có lá hay lá lược kép lông chim hai lần, rất rộng, mang vẩy to ở giữa cuống. Túi bào tử lớn hơn túi bào tử của các loài dương xỉ khác, tập hợp gần mép của các lá lông chim thành cụm ở đầu mút các gân.Phân bố ở các vùng nhiệt đới.",284
150,Aniseia,,,187
151,Aniselytron,,,87
152,Anisochilus,,,244
153,Anisomeles,,,165
154,Anisopappus,,,165
155,Anisophyllea,Bất đẳng diệp,,32
156,Anisoptera,,,16
157,Anna,,,112
158,Annamocalamus,,,136
159,Annamocarya,,,244
160,Anneslea,,,163
161,Annona,"Na, Mãng cầu","ANNONA L.[Từ chữ annon, tên của cây na ở đảo Haiti]Cây gỗ nhỏ hay cây bụi. Lá dai như da. Hoa lưỡng tính, ở ngoài nách lá đối diện với lá hoặc trên cành già. Lá đài 3, xếp van; cánh hoa 3 hoặc 6; nhị nhiều; lá noãn nhiều, lúc đầu rời nhau, khi thành quả thì dính nhau tạo thành một khối nạc. Hạt đen, vỏ hạt nhẵn bóng.Có tới 125 loài mọc hoang ở châu Mỹ và châu Phi.",307
162,Anodendron,"Dây duy, Tốc thằng cáng","ANODENDRON A. DC.[Từ chữ Hy Lạp ano: hướng lên, do chữ ana: ở trên, và dendron: cây gỗ; dây leo cao lên cây gỗ]Dây leo có nhiều nhựa mủ màu trắng. Lá đơn, mọc đối. Cụm hoa chùy ở ngọn, gồm nhiều xim mẫu 3. Ở nụ, các cánh hoa nhăn và không xếp vào trong, miệng ống tràng không có vẩy và thường ngắn hơn thùy cánh. Nhị đính ở gần gốc ống tràng và không thò ra ngoài. Đĩa mật cao hơn bầu. Quả đại dẹp, hạt có mỏ dài hay ngắn mang mào lông màu trắng.Gồm 20 loài ở vùng Ấn Độ - Mã Lai cho tới Nhật Bản",18
163,Anoectochilus,"Kim tuyến, Giải thùy, Lan nhung, Lan sứa","ANOECTOCHILUS Blume[Từ chữ Hy Lạp anoektos: mở và cheilos: môi; liên hệ đến cánh môi chia hai thùy, thường là từ gốc và các thùy này giăng ra nên cánh môi nom như mở ra]Cây thảo, cỡ nhỏ, mọc ở đất. Lá dạng màng, có màu sắc lấp lánh, như cẩm thạch.Hoa nhỏ, thường họp thành bông hay chùm. Các lá đài chồng lên cánh môi và hơi hợp nhau ở gốc, lá đài trên tạo thành mũ với các cánh hoa. Cánh môi dính với cột, phình ở gốc, có phiến trải ra, chia 2 thùy. Cột ngắn. Bao phấn ở đỉnh có 2 ô. Hai khối phấn gần như có 2 thùy với chuôi ngắn.Gồm 25 loài ở các vùng nhiệt đới châu Á tới Tây Thái Bình Dương",20
164,Anogeisus,Chò nhai,"ANOGEISSUS (DC.) Wall. ex Guill. et Perr.Cây gỗ hay cây nhỡ. Lá mọc so le hay mọc đối, có cuống, nguyên.Cụm hoa ở nách lá hay ở ngọn, thành bông hình cầu, Hoa mẫu 5, lưỡng tính, không cuống, rất nhiều. Đài dạng đấu, phình ở đỉnh thành chén đài chia ra 5 răng tam giác. Không có tràng. Bộ nhị gồm 10 nhị có bao phấn lắc lư. Có đĩa mật  chia thùy. Bầu hạ 1 ô mang 2 cánh bên; 2 noãn đảo treo. Vòi nhụy dạng dùi, rời.Cụm quả gồm nhiều quả bế giả dính nhau. Quả có cạnh hay có cánh, mang một cái mỏ thẳng ở đỉnh do phần tồn tại của ống hoa. Hạt đơn, hình trứng.Chi này phân bố ở châu Phi và châu Á. Ở Việt Nam, có 2 loài, nhưng phổ biến là : Anoceissus acuminata",222
165,Anomianthus,"Nhị tuyến, Dũ dẻ trâu","ANOMIANTHUS Zoll.[Từ chữ Hy Lạp anomoios: không giống nhau và anthos: hoa]Dây leo thân gỗ hoặc bụi trườn, phần non của cây có lông hình sao. Lá rất biến đổi về hình dạng và kích thước. Hoa hợp từng nhóm 2 - 7 đóa thành chùy ở nách lá. Lá đài 3, xếp van; cánh hoa 5, xếp lợp, thành 2 vòng; nhị nhiều; lá noãn nhiều, phân quả có cuống, chứa 6 - 8 hạt.Chỉ có 1 loài phân bố ở các nước Đông Nam Á: Annonaceae dulcis",83
166,Antenoron,Nghể hình sợi,"ANTENORON Raf.Chi này có khi được ghép vào chi Polygonum tuy nhiên có một số sai khác: cây thảo hoặc cây dạng bụi thấp. Trên cụm hoa không có lá, hoa mẫu 5, xếp hình xoắn, vòi nhụy tồn tại lâu, chia sâu đến gốc thành 2 bản, phía ngọn cong lại thành móc.Quả không có cánh.Gồm 4 loài của Bắc Mỹ, Đông Á và Philippin",18
167,Antherolophus,,,249
168,Antheroporum,"Săng mây, Hột mát, Mát","ANTHEROPORUM Gagnep.[Tên được đặt gồm anthera: bao phấn, và porus: lỗ, tức là bao phấn mở lỗ. Thực ra, bao phấn mở theo một rãnh dọc rõ nhiều hay ít tùy thuộc vào trạng thái của bao phấn]Cây gỗ lớn. Lá kép với 5 - 9 thường là 7 lá chét có lông ở mặt nước. Chùm hoa 2 - 5 cái ở nách lá. Hoa có cánh cờ dài hơn các cánh bên. Nhị có chỉ nhị dính nhau ở gốc. Quả đậu không có đốt ngang; vỏ quả hơi cứng, chứa một hạt.Gồm có 4 loài phân bố ở Nam Trung Quốc, Thái Lan và Việt Nam; 1 loài thông dụng: Antheroporum pierrei",86
169,Anthogonium,Lan vi hài,"ANTHOGONIUM Wall. ex Lindl.[Từ chữ Hy Lạp anthos: hoa và gonia: góc; liên hệ đến góc tạo thành bởi ống hoa với cuống rất mảnh của bầu]Lan mọc ở đất có hành giả hình nón nhỏ; thân mọc đứng; 1 - 3 lá hình dải ngọn giáo hẹp. Cụm hoa từ gốc của hành giả, với ít hoa nhỏ. Bầu tạo thành một góc thẳng với bao hoa. Lá đài hợp nhau thành một hình trụ hẹp phình ở gốc, phía đỉnh ngắn. Cánh môi có 3 thùy dính nhau ở gốc với cột, có móng dài, phiến hình quạt. Cột rất dài và mảnh.Chỉ gồm có 1 loài: Anthogonium gracile",129
